Symbol,Date,Volume,Close,Average
appl,14/01/2010,108223500,28.33,27.88904762
appl,15/01/2010,148516900,27.86,27.9647619
appl,19/01/2010,182501900,29.09,28.09380952
appl,20/01/2010,153038200,28.64,28.22142857
appl,21/01/2010,152038600,28.15,28.30285714
appl,22/01/2010,220441900,26.75,28.29952381
appl,25/01/2010,266424900,27.47,28.31666667
appl,26/01/2010,466777500,27.86,28.34142857
appl,27/01/2010,430642100,28.12,28.33380952
appl,28/01/2010,293375600,26.96,28.25428571
appl,29/01/2010,311488100,25.98,28.14428571
appl,01/02/2010,187469100,26.34,28.0352381
appl,02/02/2010,174585600,26.5,27.93952381
appl,03/02/2010,153832000,26.95,27.84428571
appl,04/02/2010,189413000,25.98,27.70047619
appl,05/02/2010,212576700,26.44,27.60047619
appl,08/02/2010,119567700,26.26,27.49428571
appl,09/02/2010,158221700,26.54,27.39238095
appl,10/02/2010,92590400,26.4,27.29619048
appl,11/02/2010,137586400,26.88,27.23809524
appl,12/02/2010,163867200,27.11,27.17190476
appl,16/02/2010,135934400,27.52,27.13333333
appl,17/02/2010,109099200,27.4,27.11142857
appl,18/02/2010,105706300,27.45,27.03333333
appl,19/02/2010,103867400,27.28,26.96857143
appl,22/02/2010,97640900,27.11,26.91904762
appl,23/02/2010,143773700,26.66,26.9147619
appl,24/02/2010,115141600,27.15,26.89952381
appl,25/02/2010,166281500,27.33,26.87428571
appl,26/02/2010,126865200,27.68,26.85333333
appl,01/03/2010,137523400,28.27,26.91571429
appl,02/03/2010,141636600,28.25,27.02380952
appl,03/03/2010,93013200,28.32,27.11809524
appl,04/03/2010,91510300,28.51,27.21380952
appl,05/03/2010,224905100,29.62,27.34095238
appl,08/03/2010,107472400,29.64,27.5152381
appl,09/03/2010,230064800,30.17,27.69285714
appl,10/03/2010,149054500,30.42,27.89095238
appl,11/03/2010,101425100,30.51,28.08
appl,12/03/2010,104080900,30.66,28.28285714
appl,15/03/2010,123375700,30.28,28.4447619
appl,16/03/2010,111727000,30.36,28.59952381
appl,17/03/2010,112739200,30.32,28.73285714
appl,18/03/2010,85527400,30.39,28.8752381
appl,19/03/2010,139861400,30.07,29
