Symbol,Date,Volume,Close,Average
aapl,14/01/2010,108223500,28.33,27.88904762
aapl,15/01/2010,148516900,27.86,27.9647619
aapl,19/01/2010,182501900,29.09,28.09380952
aapl,20/01/2010,153038200,28.64,28.22142857
aapl,21/01/2010,152038600,28.15,28.30285714
aapl,22/01/2010,220441900,26.75,28.29952381
aapl,25/01/2010,266424900,27.47,28.31666667
aapl,26/01/2010,466777500,27.86,28.34142857
aapl,27/01/2010,430642100,28.12,28.33380952
aapl,28/01/2010,293375600,26.96,28.25428571
aapl,29/01/2010,311488100,25.98,28.14428571
aapl,1/2/10,187469100,26.34,28.0352381
aapl,2/2/10,174585600,26.5,27.93952381
aapl,3/2/10,153832000,26.95,27.84428571
aapl,4/2/10,189413000,25.98,27.70047619
aapl,5/2/10,212576700,26.44,27.60047619
aapl,8/2/10,119567700,26.26,27.49428571
aapl,9/2/10,158221700,26.54,27.39238095
aapl,10/2/10,92590400,26.4,27.29619048
aapl,11/2/10,137586400,26.88,27.23809524
aapl,12/2/10,163867200,27.11,27.17190476
aapl,16/02/2010,135934400,27.52,27.13333333
aapl,17/02/2010,109099200,27.4,27.11142857
aapl,18/02/2010,105706300,27.45,27.03333333
aapl,19/02/2010,103867400,27.28,26.96857143
aapl,22/02/2010,97640900,27.11,26.91904762
aapl,23/02/2010,143773700,26.66,26.9147619
aapl,24/02/2010,115141600,27.15,26.89952381
aapl,25/02/2010,166281500,27.33,26.87428571
aapl,26/02/2010,126865200,27.68,26.85333333
aapl,1/3/10,137523400,28.27,26.91571429
aapl,2/3/10,141636600,28.25,27.02380952
aapl,3/3/10,93013200,28.32,27.11809524
aapl,4/3/10,91510300,28.51,27.21380952
aapl,5/3/10,224905100,29.62,27.34095238
aapl,8/3/10,107472400,29.64,27.5152381
aapl,9/3/10,230064800,30.17,27.69285714
aapl,10/3/10,149054500,30.42,27.89095238
aapl,11/3/10,101425100,30.51,28.08
aapl,12/3/10,104080900,30.66,28.28285714
aapl,15/03/2010,123375700,30.28,28.4447619
aapl,16/03/2010,111727000,30.36,28.59952381
aapl,17/03/2010,112739200,30.32,28.73285714
aapl,18/03/2010,85527400,30.39,28.8752381
aapl,19/03/2010,139861400,30.07,29
aapl,22/03/2010,114104900,30.4,29.14857143
aapl,23/03/2010,150607800,30.89,29.32857143
aapl,24/03/2010,149445100,31.03,29.53666667
aapl,25/03/2010,135571100,30.66,29.70380952
aapl,26/03/2010,160218800,31.24,29.89
aapl,29/03/2010,135186100,31.44,30.06904762
aapl,30/03/2010,131827500,31.91,30.24238095
aapl,31/03/2010,107664900,31.79,30.41095238
aapl,1/4/10,150786300,31.92,30.58238095
aapl,5/4/10,171126900,32.26,30.76095238
aapl,6/4/10,111754300,32.41,30.89380952
aapl,7/4/10,157125500,32.55,31.03238095
aapl,8/4/10,143247300,32.46,31.14142857
aapl,9/4/10,83545700,32.71,31.25047619
aapl,12/4/10,83256600,32.78,31.35857143
aapl,13/04/2010,76552700,32.8,31.46047619
aapl,14/04/2010,101019100,33.24,31.60142857
aapl,15/04/2010,94196200,33.67,31.75904762
aapl,16/04/2010,187636400,33.47,31.90904762
aapl,19/04/2010,141731100,33.42,32.05333333
aapl,20/04/2010,184581600,33.09,32.19714286
aapl,21/04/2010,245597800,35.07,32.41952381
aapl,22/04/2010,198356200,36.05,32.6652381
aapl,23/04/2010,199238900,36.64,32.93238095
aapl,26/04/2010,119767200,36.46,33.20857143
aapl,27/04/2010,177335900,35.45,33.40904762
aapl,28/04/2010,189600600,35.39,33.59714286
aapl,29/04/2010,139710200,36.34,33.80809524
aapl,30/04/2010,135615900,35.32,33.97619048
aapl,3/5/10,113585500,36.03,34.17190476
aapl,4/5/10,180954900,34.99,34.30190476
aapl,5/5/10,220775800,34.63,34.40761905
aapl,6/5/10,321465200,33.31,34.44380952
aapl,7/5/10,419004600,31.91,34.41761905
aapl,10/5/10,246076600,34.36,34.49619048
aapl,11/5/10,212226700,34.7,34.58761905
aapl,12/5/10,163594900,35.46,34.71428571
aapl,13/05/2010,149928100,34.95,34.79571429
aapl,14/05/2010,189840700,34.34,34.82761905
aapl,17/05/2010,190708700,34.39,34.87142857
aapl,18/05/2010,195669600,34.14,34.90571429
aapl,19/05/2010,256431700,33.6,34.93
aapl,20/05/2010,320728800,32.16,34.79142857
aapl,21/05/2010,305972800,32.78,34.63571429
aapl,24/05/2010,188559700,33.38,34.48047619
aapl,25/05/2010,262001600,33.17,34.32380952
aapl,26/05/2010,212663500,33.02,34.20809524
aapl,27/05/2010,166570600,34.27,34.1547619
aapl,28/05/2010,203903700,34.75,34.07904762
aapl,1/6/10,219118200,35.29,34.07761905
aapl,2/6/10,172137000,35.71,34.06238095
aapl,3/6/10,162526700,35.6,34.09142857
aapl,4/6/10,189576100,34.63,34.09142857
aapl,7/6/10,221735500,33.95,34.12190476
aapl,8/6/10,250192600,33.73,34.20857143
aapl,9/6/10,213657500,32.9,34.13904762
aapl,10/6/10,194089000,33.89,34.10047619
aapl,11/6/10,136439800,34.3,34.0452381
aapl,14/06/2010,150740100,34.4,34.01904762
aapl,15/06/2010,146268500,35.13,34.05666667
aapl,16/06/2010,195919500,36.15,34.14047619
aapl,17/06/2010,218213800,36.78,34.26619048
aapl,18/06/2010,196155400,37.08,34.43190476
aapl,21/06/2010,194122600,36.55,34.64095238
aapl,22/06/2010,179315500,37.05,34.84428571
aapl,23/06/2010,192114300,36.66,35.00047619
aapl,24/06/2010,178569300,36.39,35.15380952
aapl,25/06/2010,137485600,36.08,35.29952381
aapl,28/06/2010,146237000,36.3,35.39619048
aapl,29/06/2010,283336200,34.66,35.39190476
aapl,30/06/2010,184863000,34.03,35.33190476
aapl,1/7/10,255724000,33.62,35.23238095
aapl,2/7/10,173460700,33.41,35.12809524
aapl,6/7/10,153808900,33.64,35.08095238
aapl,7/7/10,163639000,34.99,35.13047619
aapl,8/7/10,184536100,34.92,35.18714286
aapl,9/7/10,108330600,35.12,35.29285714
aapl,12/7/10,140719600,34.81,35.33666667
aapl,13/07/2010,297731000,34.06,35.3252381
aapl,14/07/2010,203011900,34.19,35.3152381
aapl,15/07/2010,206216500,34.02,35.26238095
aapl,16/07/2010,259964600,33.81,35.15095238
aapl,19/07/2010,256119500,33.22,34.98142857
aapl,20/07/2010,268737700,34.08,34.83857143
aapl,21/07/2010,296417800,34.39,34.73571429
aapl,22/07/2010,161329700,35.04,34.64
aapl,23/07/2010,133347200,35.17,34.56904762
aapl,26/07/2010,105137900,35.08,34.50666667
aapl,27/07/2010,146192900,35.73,34.49
aapl,28/07/2010,129996300,35.3,34.44238095
aapl,29/07/2010,160951700,34.92,34.4547619
aapl,30/07/2010,112052500,34.8,34.49142857
aapl,2/8/10,107013900,35.42,34.57714286
aapl,3/8/10,104413400,35.43,34.67333333
aapl,4/8/10,105093800,35.58,34.76571429
aapl,5/8/10,72274300,35.4,34.7852381
aapl,6/8/10,111224400,35.19,34.79809524
aapl,9/8/10,75782000,35.41,34.81190476
aapl,10/8/10,112980000,35.09,34.8252381
aapl,11/8/10,155013600,33.85,34.8152381
aapl,12/8/10,133730100,34.06,34.80904762
aapl,13/08/2010,88717300,33.7,34.79380952
aapl,16/08/2010,79607500,33.5,34.77904762
aapl,17/08/2010,105660100,34.09,34.82047619
aapl,18/08/2010,84924000,34.24,34.82809524
aapl,19/08/2010,106676500,33.8,34.8
aapl,20/08/2010,96057500,33.77,34.73952381
aapl,23/08/2010,103510400,33.25,34.64809524
aapl,24/08/2010,150641400,32.46,34.52333333
aapl,25/08/2010,149216900,32.86,34.38666667
aapl,26/08/2010,116626300,32.51,34.25380952
aapl,27/08/2010,137097800,32.69,34.14761905
aapl,30/08/2010,95822300,32.81,34.05285714
aapl,31/08/2010,105196700,32.89,33.93238095
aapl,1/9/10,174259400,33.87,33.85809524
aapl,2/9/10,103856900,34.11,33.78809524
aapl,3/9/10,130197200,35.01,33.76952381
aapl,7/9/10,85639400,34.88,33.7547619
aapl,8/9/10,131637800,35.57,33.76238095
aapl,9/9/10,109643800,35.59,33.78619048
aapl,10/9/10,96885600,35.63,33.87095238
aapl,13/09/2010,97195000,36.13,33.96952381
aapl,14/09/2010,102037600,36.26,34.09142857
aapl,15/09/2010,107342200,36.56,34.23714286
aapl,16/09/2010,163025800,37.42,34.39571429
aapl,17/09/2010,158619300,37.25,34.53904762
aapl,20/09/2010,164669400,38.32,34.75428571
aapl,21/09/2010,167018600,38.39,34.97428571
aapl,22/09/2010,146322400,38.93,35.2447619
aapl,23/09/2010,196529200,39.09,35.56047619
aapl,24/09/2010,162372000,39.55,35.87904762
aapl,27/09/2010,120708700,39.39,36.20666667
aapl,28/09/2010,258760600,38.81,36.49809524
aapl,29/09/2010,117411000,38.88,36.78714286
aapl,30/09/2010,168347900,38.39,37.04904762
aapl,1/10/10,112035700,38.22,37.25619048
aapl,4/10/10,108825500,37.7,37.42714286
aapl,5/10/10,125491800,39.09,37.62142857
aapl,6/10/10,167717200,39.12,37.82333333
aapl,7/10/10,102099900,39.13,37.99285714
aapl,8/10/10,164600800,39.78,38.19238095
aapl,11/10/10,106938300,39.96,38.39857143
aapl,12/10/10,139636000,40.39,38.60142857
aapl,13/10/2010,157523100,40.6,38.80809524
aapl,14/10/2010,108824100,40.9,39.0147619
aapl,15/10/2010,230548500,42.58,39.26047619
aapl,18/10/2010,273252700,43.02,39.5352381
aapl,19/10/2010,308196000,41.87,39.70428571
aapl,20/10/2010,180406100,42.01,39.87666667
aapl,21/10/2010,137865000,41.87,40.01666667
aapl,22/10/2010,93194500,41.6,40.13619048
aapl,25/10/2010,98115500,41.78,40.24238095
aapl,26/10/2010,98232400,41.67,40.35095238
aapl,27/10/2010,99750700,41.64,40.48571429
aapl,28/10/2010,137762800,41.29,40.60047619
aapl,29/10/2010,107627800,40.72,40.71142857
aapl,1/11/10,105972300,41.15,40.85095238
aapl,2/11/10,108482500,41.85,41.04857143
aapl,3/11/10,127087100,42.32,41.20238095
aapl,4/11/10,160622000,43.06,41.39
aapl,5/11/10,90313300,42.9,41.56952381
aapl,8/11/10,70439600,43.1,41.72761905
aapl,9/11/10,95886000,42.76,41.86095238
aapl,10/11/10,96056800,43.02,41.98619048
aapl,11/11/10,90321000,42.84,42.09285714
aapl,12/11/10,198961700,41.67,42.12952381
aapl,15/11/2010,100901500,41.54,42.08
aapl,16/11/2010,164412500,40.8,41.97428571
aapl,17/11/2010,119862400,40.65,41.91619048
aapl,18/11/2010,123622800,41.73,41.90285714
aapl,19/11/2010,96210800,41.5,41.8852381
aapl,22/11/2010,98268800,42.39,41.92285714
aapl,23/11/2010,129861900,41.77,41.92238095
aapl,24/11/2010,103431300,42.59,41.96619048
aapl,26/11/2010,59396400,42.61,42.01238095
aapl,29/11/2010,111446300,42.87,42.08761905
aapl,30/11/2010,125464500,42.09,42.15285714
aapl,1/12/10,115437700,42.8,42.23142857
aapl,2/12/10,115709300,43.04,42.28809524
aapl,3/12/10,85523200,42.94,42.31761905
aapl,6/12/10,112120400,43.31,42.32952381
aapl,7/12/10,97863500,43.05,42.33666667
aapl,8/12/10,80483900,43.43,42.35238095
aapl,9/12/10,73537800,43.26,42.37619048
aapl,10/12/10,65627800,43.37,42.39285714
aapl,13/12/2010,109953900,43.52,42.4252381
aapl,14/12/2010,87752000,43.33,42.50428571
aapl,15/12/2010,104328000,43.34,42.59
aapl,16/12/2010,80507700,43.46,42.71666667
aapl,17/12/2010,96732300,43.37,42.84619048
aapl,20/12/2010,96402600,43.59,42.9347619
aapl,21/12/2010,64088500,43.86,43.04714286
aapl,22/12/2010,66480400,43.99,43.12333333
aapl,23/12/2010,55789300,43.78,43.21904762
aapl,27/12/2010,62454000,43.92,43.28238095
aapl,28/12/2010,43981000,44.03,43.35
aapl,29/12/2010,40784800,44.01,43.40428571
aapl,30/12/2010,39373600,43.79,43.4852381
aapl,31/12/2010,48377000,43.64,43.5252381
aapl,3/1/11,111284600,44.59,43.59904762
aapl,4/1/11,77270200,44.82,43.68857143
aapl,5/1/11,63879900,45.18,43.77761905
aapl,6/1/11,75107200,45.15,43.87761905
aapl,7/1/11,77982800,45.47,43.9747619
aapl,10/1/11,112140000,46.33,44.12095238
aapl,11/1/11,111027000,46.22,44.25666667
aapl,12/1/11,75647600,46.59,44.40285714
aapl,13/01/2011,74195100,46.76,44.56619048
aapl,14/01/2011,77210000,47.14,44.74714286
aapl,18/01/2011,470249500,46.08,44.87190476
aapl,19/01/2011,283903200,45.84,44.98952381
aapl,20/01/2011,191197300,45.01,45.05714286
aapl,21/01/2011,188600300,44.2,45.07333333
aapl,24/01/2011,143670800,45.65,45.15238095
aapl,25/01/2011,136717000,46.19,45.26714286
aapl,26/01/2011,126718900,46.52,45.39095238
aapl,27/01/2011,71256500,46.43,45.5052381
aapl,28/01/2011,148014300,45.47,45.5747619
aapl,31/01/2011,94311700,45.9,45.6752381
aapl,1/2/11,106658300,46.68,45.82
aapl,2/2/11,64738800,46.58,45.9147619
aapl,3/2/11,98449400,46.46,45.99285714
aapl,4/2/11,80460100,46.88,46.07380952
aapl,7/2/11,121255400,47.6,46.19047619
aapl,8/2/11,95260200,48.05,46.31333333
aapl,9/2/11,120686300,48.45,46.41428571
aapl,10/2/11,232137500,47.96,46.49714286
aapl,11/2/11,91893200,48.28,46.57761905
aapl,14/02/2011,77604100,48.59,46.6647619
aapl,15/02/2011,71043700,48.69,46.73857143
aapl,16/02/2011,120289400,49.13,46.88380952
aapl,17/02/2011,132645800,48.47,47.00904762
aapl,18/02/2011,204014300,47.42,47.12380952
aapl,22/02/2011,218138900,45.81,47.20047619
aapl,23/02/2011,167963600,46.35,47.23380952
aapl,24/02/2011,124975200,46.39,47.24333333
aapl,25/02/2011,95004700,47.1,47.27095238
aapl,28/02/2011,100768500,47.78,47.3352381
aapl,1/3/11,114034200,47.26,47.42047619
aapl,2/3/11,150647700,47.64,47.50333333
aapl,3/3/11,125197100,48.64,47.59666667
aapl,4/3/11,113316700,48.7,47.69761905
aapl,7/3/11,136530800,48.07,47.77428571
aapl,8/3/11,89079200,48.13,47.83380952
aapl,9/3/11,113326500,47.68,47.83761905
aapl,10/3/11,126884800,46.9,47.78285714
aapl,11/3/11,117770100,47.62,47.74333333
aapl,14/03/2011,108989300,47.83,47.73714286
aapl,15/03/2011,180270300,46.73,47.66333333
aapl,16/03/2011,290502800,44.64,47.4752381
aapl,17/03/2011,164855600,45.27,47.31238095
aapl,18/03/2011,188303500,44.73,47.10285714
aapl,21/03/2011,102350500,45.9,46.98047619
aapl,22/03/2011,81480700,46.16,46.92047619
aapl,23/03/2011,93249100,45.89,46.92428571
aapl,24/03/2011,101178000,46.67,46.93952381
aapl,25/03/2011,112227500,47.56,46.9952381
aapl,28/03/2011,77338800,47.41,47.01
aapl,29/03/2011,88225200,47.48,46.99571429
aapl,30/03/2011,82351500,47.16,46.99095238
aapl,31/03/2011,68504800,47.15,46.96761905
aapl,1/4/11,104665400,46.61,46.87095238
aapl,4/4/11,115021200,46.16,46.75
aapl,5/4/11,120682800,45.85,46.64428571
aapl,6/4/11,100634800,45.73,46.53
aapl,7/4/11,93361800,45.74,46.43761905
aapl,8/4/11,94383800,45.33,46.36285714
aapl,11/4/11,99736700,44.75,46.22619048
aapl,12/4/11,106409800,44.97,46.09
aapl,13/04/2011,86555000,45.47,46.03
aapl,14/04/2011,75450200,44.97,46.04571429
aapl,15/04/2011,113401400,44.3,45.99952381
aapl,18/04/2011,152474700,44.89,46.00714286
aapl,19/04/2011,104844600,45.71,45.99809524
aapl,20/04/2011,175166600,46.32,46.00571429
aapl,21/04/2011,188452600,47.44,46.07952381
aapl,25/04/2011,66636500,47.76,46.13142857
aapl,26/04/2011,84700000,47.41,46.12428571
aapl,27/04/2011,89053300,47.37,46.12238095
aapl,28/04/2011,90239800,46.91,46.0952381
aapl,29/04/2011,251586300,47.37,46.1052381
aapl,2/5/11,110678400,46.85,46.09095238
aapl,3/5/11,78337000,47.11,46.1147619
aapl,4/5/11,97312600,47.29,46.16857143
aapl,5/5/11,83992300,46.91,46.21904762
aapl,6/5/11,70033600,46.9,46.2747619
aapl,9/5/11,51186800,47.02,46.33571429
aapl,10/5/11,70522900,47.27,46.42809524
aapl,11/5/11,84000000,46.97,46.53380952
aapl,12/5/11,80500000,46.88,46.6247619
aapl,13/05/2011,81529000,46.06,46.65285714
aapl,16/05/2011,112443800,45.09,46.65857143
aapl,17/05/2011,113083600,45.47,46.71428571
aapl,18/05/2011,83694100,45.98,46.76619048
aapl,19/05/2011,65292500,46.07,46.78333333
aapl,20/05/2011,84492100,45.35,46.73714286
aapl,23/05/2011,95900000,45.24,46.63238095
aapl,24/05/2011,80481800,44.94,46.49809524
aapl,25/05/2011,73556000,45.56,46.41
aapl,26/05/2011,55640200,45.32,46.31238095
aapl,27/05/2011,50899800,45.65,46.25238095
aapl,31/05/2011,104438600,47.06,46.23761905
aapl,1/6/11,138670700,46.74,46.23238095
aapl,2/6/11,84695800,46.82,46.21857143
aapl,3/6/11,78312500,46.46,46.17904762
aapl,6/6/11,115485300,45.73,46.12285714
aapl,7/6/11,132446300,44.92,46.02857143
aapl,8/6/11,83430900,44.95,45.93
aapl,9/6/11,68772200,44.84,45.81428571
aapl,10/6/11,108488800,44.09,45.67714286
aapl,13/06/2011,82368300,44.18,45.54857143
aapl,14/06/2011,83642300,44.97,45.49666667
aapl,15/06/2011,99799000,44.2,45.45428571
aapl,16/06/2011,127647800,43.99,45.38380952
aapl,17/06/2011,153755000,43.33,45.25761905
aapl,20/06/2011,160161400,42.66,45.0952381
aapl,21/06/2011,123345600,44.01,45.03142857
aapl,22/06/2011,97645800,43.64,44.9552381
aapl,23/06/2011,139939800,44.81,44.94904762
aapl,24/06/2011,109951800,44.15,44.88190476
aapl,27/06/2011,84953400,44.92,44.86285714
aapl,28/06/2011,73574900,45.35,44.84857143
aapl,29/06/2011,88136300,45.19,44.75952381
aapl,30/06/2011,80738700,45.41,44.69619048
aapl,1/7/11,108828300,46.44,44.67809524
aapl,5/7/11,88763500,47.27,44.71666667
aapl,6/7/11,111156500,47.59,44.8052381
aapl,7/7/11,99915900,48.32,44.96714286
aapl,8/7/11,122408300,48.66,45.14380952
aapl,11/7/11,110668600,47.89,45.28904762
aapl,12/7/11,112902300,47.86,45.46857143
aapl,13/07/2011,97909700,48.43,45.67095238
aapl,14/07/2011,107633400,48.4,45.83428571
aapl,15/07/2011,121116800,49.37,46.08047619
aapl,18/07/2011,143163300,50.57,46.39380952
aapl,19/07/2011,204786400,50.98,46.75809524
aapl,20/07/2011,235335100,52.34,47.21904762
aapl,21/07/2011,131633600,52.39,47.61809524
aapl,22/07/2011,129182200,53.21,48.07380952
aapl,25/07/2011,147451500,53.91,48.50714286
aapl,26/07/2011,119145600,54.57,49.00333333
aapl,27/07/2011,164831100,53.11,49.39333333
aapl,28/07/2011,148508500,53.01,49.75809524
aapl,29/07/2011,158146100,52.83,50.12190476
aapl,1/8/11,153209000,53.67,50.5152381
aapl,2/8/11,159884900,52.61,50.80904762
aapl,3/8/11,183127000,53.11,51.08714286
aapl,4/8/11,217851900,51.05,51.25190476
aapl,5/8/11,301147700,50.54,51.35761905
aapl,8/8/11,285958400,47.78,51.31571429
aapl,9/8/11,270645900,50.6,51.4447619
aapl,10/8/11,219664200,49.2,51.50857143
aapl,11/8/11,185492300,50.56,51.61
aapl,12/8/11,132244000,51,51.73380952
aapl,15/08/2011,115136000,51.87,51.85285714
aapl,16/08/2011,124687500,51.47,51.89571429
aapl,17/08/2011,110515300,51.47,51.91904762
aapl,18/08/2011,212858800,49.52,51.7847619
aapl,19/08/2011,193972100,48.16,51.58333333
aapl,22/08/2011,133828800,48.22,51.34571429
aapl,23/08/2011,164208800,50.54,51.1852381
aapl,24/08/2011,156566900,50.89,51.01
aapl,25/08/2011,217836500,50.56,50.88857143
aapl,26/08/2011,160369300,51.89,50.8352381
aapl,29/08/2011,101317300,52.76,50.83190476
aapl,30/08/2011,104480600,52.76,50.78857143
aapl,31/08/2011,130646600,52.06,50.76238095
aapl,1/9/11,85931300,51.55,50.68809524
aapl,2/9/11,109734800,50.6,50.66666667
aapl,6/9/11,127424500,51.37,50.70619048
aapl,7/9/11,87644200,51.94,50.90428571
aapl,8/9/11,104039600,51.97,50.96952381
aapl,9/9/11,141203300,51.07,51.05857143
aapl,12/9/11,116958100,51.4,51.09857143
aapl,13/09/2011,110140100,52.03,51.14761905
aapl,14/09/2011,133681100,52.67,51.18571429
aapl,15/09/2011,104454700,53.16,51.26619048
aapl,16/09/2011,174628300,54.18,51.3952381
aapl,19/09/2011,205965200,55.69,51.68904762
aapl,20/09/2011,193938500,55.93,52.05904762
aapl,21/09/2011,151494000,55.76,52.41809524
aapl,22/09/2011,242120200,54.36,52.6
aapl,23/09/2011,136569300,54.69,52.78095238
aapl,26/09/2011,203219100,54.54,52.97047619
aapl,27/09/2011,158124400,54.01,53.07142857
aapl,28/09/2011,107409400,53.71,53.11666667
aapl,29/09/2011,162771700,52.84,53.12047619
aapl,30/09/2011,136910200,51.59,53.09809524
aapl,3/10/11,167274800,50.68,53.05666667
