"","Date","Close","Volume","Symbol","Topic1","Topic2","Topic3"
"1","6/2/2008","26.59","169960000","AAPL",no topic,no topic,no topic
"2","6/3/2008","26.48","189346969","AAPL","replace CEO","Mortgage","Steps Down"
"3","6/4/2008","26.46","181867896","AAPL","replace CEO","Mortgage","Steps Down"
"4","6/5/2008","27.06","188860714","AAPL","replace CEO","Mortgage","Steps Down"
"5","6/6/2008","26.52","241530639","AAPL","replace CEO","Mortgage","Steps Down"
"6","6/9/2008","25.94","472097745","AAPL","replace CEO","Mortgage","Steps Down"
"7","6/10/2008","26.52","285234915","AAPL","replace CEO","Mortgage","Steps Down"
"8","6/11/2008","25.83","240387315","AAPL","replace CEO","Mortgage","Steps Down"
"9","6/12/2008","24.75","327082805","AAPL","replace CEO","Mortgage","Steps Down"
"10","6/13/2008","24.62","336424522","AAPL","replace CEO","Mortgage","Steps Down"
"11","6/16/2008","25.26","262932376","AAPL","iphone","itunes store","jobs health"
"12","6/17/2008","25.92","225038933","AAPL","iphone","itunes store","jobs health"
"13","6/18/2008","25.54","202866790","AAPL","iphone","itunes store","jobs health"
"14","6/19/2008","25.84","198179401","AAPL","iphone","itunes store","jobs health"
"15","6/20/2008","25.04","222040469","AAPL","iphone","itunes store","jobs health"
"16","6/23/2008","24.74","161504168","AAPL","iphone","itunes store","jobs health"
"17","6/24/2008","24.75","155518461","AAPL","iphone","itunes store","jobs health"
"18","6/25/2008","25.34","161112469","AAPL","iphone","itunes store","jobs health"
"19","6/26/2008","24.04","217402080","AAPL","iphone","itunes store","jobs health"
"20","6/27/2008","24.3","260556205","AAPL","iphone","itunes store","jobs health"
"21","6/30/2008","23.92","171084536","AAPL","iphone","itunes store","jobs health"
"22","7/1/2008","24.95","277819892","AAPL","iphone","itunes store","jobs health"
"23","7/2/2008","24.03","209662096","AAPL","iphone","itunes store","jobs health"
"24","7/3/2008","24.3","130859225","AAPL","iphone","itunes store","jobs health"
"25","7/7/2008","25.02","205097221","AAPL","iphone","itunes store","jobs health"
"26","7/8/2008","25.65","222172923","AAPL","iphone","itunes store","jobs health"
"27","7/9/2008","24.89","224025123","AAPL","iphone","itunes store","jobs health"
"28","7/10/2008","25.23","210171829","AAPL","iphone","itunes store","jobs health"
"29","7/11/2008","24.65","232502298","AAPL","iphone","itunes store","jobs health"
"30","7/14/2008","24.84","221513530","AAPL","iphone","itunes store","jobs health"
"31","7/15/2008","24.23","260010464","AAPL","iphone","itunes store","jobs health"
"32","7/16/2008","24.69","187015969","AAPL","iphone","itunes store","jobs health"
"33","7/17/2008","24.54","189381192","AAPL","iphone","itunes store","jobs health"
"34","7/18/2008","23.59","217032018","AAPL","iphone","itunes store","jobs health"
"35","7/21/2008","23.76","340117365","AAPL","iphone","itunes store","jobs health"
