Date,Open,High,Low,Close,Volume
31-Dec-10,298.07,298.91,295.72,296.69,-
30-Dec-10,298.70,300.37,298.40,299.13,-
29-Dec-10,300.70,300.90,299.16,300.20,-
28-Dec-10,300.72,301.63,298.71,299.16,-
27-Dec-10,301.07,301.59,299.45,300.89,-
23-Dec-10,302.37,302.70,300.71,301.81,-
22-Dec-10,301.70,303.20,301.34,302.44,-
21-Dec-10,298.99,302.06,298.51,301.23,-
20-Dec-10,297.03,298.64,294.03,297.23,-
17-Dec-10,295.20,295.98,293.54,295.10,-
16-Dec-10,296.13,296.59,293.74,295.56,-
15-Dec-10,296.80,297.93,294.28,294.85,-
14-Dec-10,298.25,298.85,295.94,297.16,-
13-Dec-10,298.26,301.20,296.75,297.01,-
10-Dec-10,296.27,296.70,294.85,295.81,-
9-Dec-10,296.64,297.49,294.21,295.45,-
8-Dec-10,295.69,295.96,291.55,294.97,-
7-Dec-10,295.34,296.20,292.71,293.28,-
6-Dec-10,289.99,290.71,288.02,288.89,-
3-Dec-10,284.44,287.95,283.72,286.21,-
2-Dec-10,284.05,286.38,282.39,285.62,-
1-Dec-10,281.22,285.50,280.92,281.89,-
30-Nov-10,286.87,286.87,276.38,277.58,-
29-Nov-10,294.29,294.61,289.69,290.76,-
26-Nov-10,294.93,296.19,293.21,294.70,-
24-Nov-10,293.36,298.00,293.23,297.19,-
23-Nov-10,293.21,294.21,288.81,291.21,-
22-Nov-10,293.44,296.42,291.08,295.31,-
19-Nov-10,298.20,298.65,294.87,295.12,-
18-Nov-10,294.21,299.69,293.99,297.98,-
17-Nov-10,292.21,294.46,290.39,291.48,-
16-Nov-10,296.08,298.65,291.43,291.57,-
15-Nov-10,301.24,301.70,296.73,297.44,-
12-Nov-10,306.69,308.14,300.30,301.34,-
11-Nov-10,309.54,309.62,306.80,308.29,-
10-Nov-10,310.73,311.19,308.45,311.13,-
9-Nov-10,314.68,315.11,309.94,312.10,-
8-Nov-10,311.70,314.43,311.25,313.07,-
5-Nov-10,311.28,312.43,310.24,312.23,-
4-Nov-10,312.01,314.65,310.74,311.82,-
3-Nov-10,308.44,310.60,306.44,309.78,-
2-Nov-10,309.03,309.69,306.98,307.49,-
1-Nov-10,307.56,310.02,305.30,307.19,-
29-Oct-10,308.23,309.19,306.19,306.54,-
28-Oct-10,309.71,310.19,306.34,308.98,-
27-Oct-10,307.58,309.69,305.86,307.93,-
26-Oct-10,306.24,310.30,305.21,308.99,-
25-Oct-10,307.49,312.06,307.18,307.94,-
22-Oct-10,305.65,307.10,304.72,305.96,-
21-Oct-10,305.45,307.69,302.70,305.69,-
20-Oct-10,303.77,308.38,303.45,303.69,-
19-Oct-10,304.12,307.10,301.13,303.61,-
18-Oct-10,299.97,309.54,299.97,308.55,-
15-Oct-10,299.34,300.52,295.50,300.42,-
14-Oct-10,271.82,272.35,268.29,270.19,-
13-Oct-10,273.23,273.47,270.89,271.38,-
12-Oct-10,269.79,272.72,268.63,270.42,-
11-Oct-10,268.97,272.03,268.32,269.15,-
8-Oct-10,266.12,268.53,263.55,267.91,-
7-Oct-10,267.84,268.33,264.31,264.74,-
6-Oct-10,269.36,269.70,264.71,266.91,-
5-Oct-10,263.93,269.73,263.01,268.85,-
4-Oct-10,262.21,263.86,259.17,260.91,-
1-Oct-10,264.74,265.04,261.24,262.55,-
30-Sep-10,264.32,265.67,259.20,262.63,-
29-Sep-10,263.66,266.20,262.09,263.58,-
28-Sep-10,266.47,266.53,258.97,263.32,-
27-Sep-10,264.16,268.16,264.16,264.94,-
24-Sep-10,260.61,263.65,258.87,263.38,-
23-Sep-10,257.05,259.58,255.39,256.48,-
22-Sep-10,256.17,258.63,255.58,257.74,-
21-Sep-10,254.59,259.73,254.20,256.47,-
20-Sep-10,246.00,254.95,245.78,253.89,-
17-Sep-10,241.63,245.35,240.35,244.83,-
16-Sep-10,239.74,240.98,239.47,240.29,-
15-Sep-10,239.74,240.70,239.01,240.08,-
14-Sep-10,240.76,242.13,239.80,239.97,-
13-Sep-10,240.21,241.93,239.53,240.89,-
10-Sep-10,239.27,239.66,237.30,237.83,-
9-Sep-10,238.68,239.96,235.05,237.85,-
8-Sep-10,232.36,236.01,232.02,235.05,-
7-Sep-10,232.02,233.56,231.28,231.97,-
3-Sep-10,235.02,235.70,233.49,234.91,-
2-Sep-10,231.19,231.98,229.92,231.36,-
1-Sep-10,227.26,232.24,226.02,229.94,-
31-Aug-10,224.83,227.21,223.78,224.78,-
30-Aug-10,229.34,229.65,225.98,226.12,-
27-Aug-10,226.05,229.77,223.60,229.19,-
26-Aug-10,227.80,228.40,224.99,225.26,-
25-Aug-10,224.78,228.68,224.78,227.08,-
24-Aug-10,228.62,228.96,225.23,225.47,-
23-Aug-10,230.52,233.89,228.64,231.80,-
20-Aug-10,233.75,235.56,230.28,230.78,-
19-Aug-10,240.26,241.01,233.39,233.75,-
18-Aug-10,244.97,245.19,240.53,240.83,-
17-Aug-10,244.02,247.10,242.77,245.01,-
16-Aug-10,241.60,244.69,240.01,242.55,-
13-Aug-10,244.26,245.35,242.76,242.93,-
12-Aug-10,241.73,247.13,241.01,245.76,-
11-Aug-10,248.62,248.75,245.50,245.62,-
10-Aug-10,250.92,252.75,249.04,251.60,-
9-Aug-10,250.87,252.50,250.43,252.42,-
6-Aug-10,252.45,252.62,247.78,249.86,-
5-Aug-10,252.69,254.05,251.53,253.80,-
4-Aug-10,245.84,253.25,245.28,252.91,-
3-Aug-10,245.00,245.98,243.14,244.67,-
2-Aug-10,244.25,246.39,243.23,244.96,-
30-Jul-10,239.59,243.44,239.33,242.18,-
29-Jul-10,242.73,244.20,239.43,242.25,-
28-Jul-10,247.22,247.38,241.09,241.93,-
27-Jul-10,245.04,248.50,244.84,246.07,-
26-Jul-10,244.30,245.13,242.20,244.24,-
23-Jul-10,240.14,245.05,239.76,244.78,-
22-Jul-10,241.37,244.25,241.00,242.16,-
21-Jul-10,241.76,242.61,237.48,238.51,-
20-Jul-10,230.28,241.25,230.07,240.55,-
19-Jul-10,230.27,234.59,228.53,232.86,-
16-Jul-10,234.32,235.04,229.53,229.57,-
15-Jul-10,245.62,247.10,241.10,246.76,-
14-Jul-10,244.70,246.67,242.99,245.42,-
13-Jul-10,240.88,246.25,239.90,244.36,-
12-Jul-10,235.95,239.48,235.30,237.68,-
9-Jul-10,235.74,236.39,231.16,233.51,-
