"","Date","Close","Volume","Symbol","Topic1","Topic2","Topic3"
"1","6/2/2008","27.8"," 77038347","MSFT",no topic,no topic,no topic
"2","6/3/2008","27.31"," 91650429","MSFT",no topic,no topic,no topic
"3","6/4/2008","27.54"," 79611683","MSFT",no topic,no topic,no topic
"4","6/5/2008","28.3"," 76063353","MSFT",no topic,no topic,no topic
"5","6/6/2008","27.49"," 78495857","MSFT",no topic,no topic,no topic
"6","6/9/2008","27.71"," 66787062","MSFT",no topic,no topic,no topic
"7","6/10/2008","27.89"," 77433857","MSFT",no topic,no topic,no topic
"8","6/11/2008","27.12"," 59330780","MSFT",no topic,no topic,no topic
"9","6/12/2008","28.24","113996301","MSFT",no topic,no topic,no topic
"10","6/13/2008","29.07","131964396","MSFT",no topic,no topic,no topic
"11","6/16/2008","28.93"," 74725259","MSFT","Deal","Yahoo","Battle"
"12","6/17/2008","28.8"," 44263070","MSFT","Deal","Yahoo","Battle"
"13","6/18/2008","28.46"," 49687729","MSFT","Deal","Yahoo","Battle"
"14","6/19/2008","28.93"," 62047794","MSFT","Deal","Yahoo","Battle"
"15","6/20/2008","28.23"," 97486098","MSFT","Deal","Yahoo","Battle"
"16","6/23/2008","27.97"," 57150450","MSFT","Deal","Yahoo","Battle"
"17","6/24/2008","27.73"," 65225396","MSFT","Deal","Yahoo","Battle"
"18","6/25/2008","28.35"," 64280144","MSFT","Deal","Yahoo","Battle"
"19","6/26/2008","27.75"," 67049013","MSFT","Deal","Yahoo","Battle"
"20","6/27/2008","27.63"," 73447787","MSFT","Deal","Yahoo","Battle"
"21","6/30/2008","27.51"," 57836460","MSFT","Deal","Yahoo","Battle"
"22","7/1/2008","26.87","100327707","MSFT","Deal","Yahoo","Battle"
"23","7/2/2008","25.88"," 84702804","MSFT","Deal","Yahoo","Battle"
"24","7/3/2008","25.98"," 37076426","MSFT","Deal","Yahoo","Battle"
"25","7/7/2008","26.03"," 71527599","MSFT","Deal","Yahoo","Battle"
